Time	TimeofDay	Left Encoder Velocity CP	
3.076008	1.679790673975E12	0.0	
3.096128	1.679790673995E12	0.0	
3.116032	1.679790674015E12	0.0	
3.136179	1.679790674035E12	0.0	
3.15617	1.679790674055E12	0.0	
3.176135	1.679790674075E12	0.0	
3.196059	1.679790674096E12	0.0	
3.216388	1.679790674115E12	0.0	
3.236241	1.679790674135E12	0.0	
3.256268	1.679790674155E12	0.0	
3.276213	1.679790674175E12	0.0	
3.296113	1.679790674195E12	0.0	
3.316169	1.679790674215E12	0.0	
3.336163	1.679790674235E12	0.0	
3.356121	1.679790674255E12	0.0	
3.375959	1.679790674275E12	0.0	
3.396853	1.679790674296E12	0.0	
3.417855	1.679790674317E12	0.0	
3.438847	1.679790674338E12	0.0	
3.459301	1.679790674358E12	0.0	
3.479191	1.679790674378E12	0.0	
3.499162	1.679790674398E12	0.0	
3.519029	1.679790674418E12	0.0	
3.53936	1.679790674438E12	0.0	
3.559242	1.679790674458E12	0.0	
3.57929	1.679790674478E12	0.0	
3.599542	1.679790674499E12	0.0	
3.618972	1.679790674518E12	0.0	
3.638924	1.679790674538E12	0.0	
3.659083	1.679790674558E12	0.0	
3.679095	1.679790674578E12	0.0	
3.699447	1.679790674599E12	0.0	
3.71998	1.679790674619E12	0.0	
3.740619	1.67979067464E12	0.0	
3.760323	1.679790674659E12	0.0	
3.780277	1.679790674679E12	0.0	
3.803663	1.679790674703E12	0.0	
3.823438	1.679790674723E12	0.0	
3.843315	1.679790674742E12	0.0	
3.86311	1.679790674762E12	0.0	
3.882898	1.679790674782E12	0.0	
3.903761	1.679790674803E12	0.0	
3.92462	1.679790674824E12	0.0	
3.944499	1.679790674844E12	0.0	
3.964432	1.679790674864E12	0.0	
3.98424	1.679790674883E12	0.0	
4.004193	1.679790674903E12	0.0	
4.024201	1.679790674923E12	0.0	
4.04395	1.679790674943E12	0.0	
4.064786	1.679790674964E12	0.0	
4.085566	1.679790674985E12	0.0	
4.105392	1.679790675005E12	0.0	
4.125408	1.679790675024E12	0.0	
4.145226	1.679790675044E12	0.0	
4.16506	1.679790675064E12	0.0	
4.184826	1.679790675084E12	0.0	
4.205738	1.679790675105E12	0.0	
4.226614	1.679790675126E12	0.0	
4.246379	1.679790675146E12	0.0	
4.266217	1.679790675165E12	0.0	
4.286179	1.679790675185E12	0.0	
4.306036	1.679790675205E12	0.0	
4.326805	1.679790675226E12	0.0	
4.347593	1.679790675247E12	0.0	
4.367365	1.679790675267E12	0.0	
4.387297	1.679790675286E12	0.0	
4.407091	1.679790675306E12	0.0	
4.426857	1.679790675326E12	0.0	
4.447661	1.679790675347E12	0.0	
4.467467	1.679790675367E12	0.0	
4.487316	1.679790675387E12	0.0	
4.507319	1.679790675406E12	0.0	
4.527144	1.679790675426E12	0.0	
4.546948	1.679790675446E12	0.0	
4.56775	1.679790675467E12	0.0	
4.588629	1.679790675488E12	0.0	
4.608483	1.679790675508E12	0.0	
4.628372	1.679790675527E12	0.0	
4.648136	1.679790675547E12	0.0	
4.668004	1.679790675567E12	0.0	
4.68878	1.679790675588E12	0.0	
4.709575	1.679790675609E12	0.0	
4.72951	1.679790675629E12	0.0	
4.749812	1.679790675671E12	0.0	
4.772329	1.679790675672E12	0.0	
4.792316	1.679790675691E12	0.0	
4.812115	1.679790675711E12	0.0	
4.832011	1.679790675731E12	0.0	
4.852478	1.679790675752E12	0.0	
4.872512	1.679790675772E12	0.0	
4.892504	1.679790675792E12	0.0	
4.912475	1.679790675812E12	0.0	
4.931896	1.679790675831E12	0.0	
4.952781	1.679790675852E12	0.0	
4.972792	1.679790675872E12	0.0	
4.993601	1.679790675893E12	0.0	
5.01346	1.679790675913E12	0.0	
5.033401	1.679790675933E12	0.0	
5.053416	1.679790675953E12	0.0	
5.073567	1.679790675973E12	0.0	
5.093403	1.679790675992E12	0.0	
5.113609	1.679790676013E12	0.0	
5.133665	1.679790676033E12	0.0	
5.153666	1.679790676053E12	0.0	
5.173509	1.679790676073E12	0.0	
5.193511	1.679790676093E12	0.0	
5.213464	1.679790676113E12	0.0	
5.233419	1.679790676133E12	0.0	
5.253223	1.679790676152E12	0.0	
5.273116	1.679790676172E12	0.0	
5.293111	1.679790676192E12	0.0	
5.313033	1.679790676212E12	0.0	
5.332837	1.679790676232E12	0.0	
5.353803	1.679790676253E12	0.0	
5.374616	1.679790676274E12	0.0	
5.394483	1.679790676294E12	0.0	
5.414422	1.679790676314E12	0.0	
5.434188	1.679790676333E12	0.0	
5.453959	1.679790676353E12	0.0	
5.474737	1.679790676374E12	0.0	
5.495555	1.679790676395E12	0.0	
5.515561	1.679790676415E12	0.0	
5.535389	1.679790676434E12	0.0	
5.555262	1.679790676454E12	0.0	
5.575208	1.679790676475E12	0.0	
5.595334	1.679790676494E12	0.0	
5.615263	1.679790676514E12	0.0	
5.635173	1.679790676534E12	0.0	
5.655208	1.679790676554E12	0.0	
5.674966	1.679790676574E12	0.0	
5.695765	1.679790676595E12	0.0	
5.716622	1.679790676616E12	0.0	
5.736456	1.679790676636E12	0.0	
5.756235	1.679790676655E12	0.0	
5.776129	1.679790676675E12	0.0	
5.795972	1.679790676695E12	0.0	
5.816771	1.679790676716E12	0.0	
5.837613	1.679790676737E12	0.0	
5.857471	1.679790676757E12	0.0	
5.877209	1.679790676776E12	0.0	
5.89695	1.679790676796E12	0.0	
5.917761	1.679790676817E12	0.0	
5.938872	1.679790676838E12	0.0	
5.959719	1.679790676859E12	0.0	
5.98055	1.67979067688E12	0.0	
6.000437	1.6797906769E12	0.0	
6.020288	1.679790676919E12	0.0	
6.040031	1.679790676939E12	0.0	
6.059847	1.679790676959E12	0.0	
6.080734	1.67979067698E12	0.0	
6.101578	1.679790677001E12	0.0	
6.121362	1.67979067702E12	0.0	
6.14121	1.67979067704E12	0.0	
6.160962	1.67979067706E12	0.0	
6.181738	1.679790677081E12	0.0	
6.202509	1.679790677102E12	0.0	
6.222266	1.679790677121E12	0.0	
6.242068	1.679790677141E12	0.0	
6.261929	1.679790677161E12	0.0	
6.282687	1.679790677182E12	0.0	
6.303443	1.679790677203E12	0.0	
6.323154	1.679790677222E12	0.0	
6.342953	1.679790677242E12	0.0	
6.363267	1.679790677263E12	0.0	
6.383217	1.679790677282E12	0.0	
6.40298	1.679790677302E12	0.0	
6.42368	1.679790677323E12	0.0	
6.44448	1.679790677344E12	0.0	
6.464302	1.679790677363E12	0.0	
6.4841	1.679790677383E12	0.0	
6.503888	1.679790677403E12	0.0	
6.524714	1.679790677424E12	0.0	
6.545502	1.679790677445E12	0.0	
6.565574	1.679790677465E12	0.0	
6.585207	1.679790677484E12	0.0	
6.604937	1.679790677504E12	0.0	
6.62488	1.679790677524E12	0.0	
6.64559	1.679790677545E12	0.0	
6.665381	1.679790677564E12	0.0	
6.68518	1.679790677584E12	0.0	
6.704928	1.679790677604E12	0.0	
6.725629	1.679790677625E12	0.0	
6.745522	1.679790677645E12	0.0	
6.765406	1.679790677665E12	0.0	
6.785359	1.679790677684E12	0.0	
6.805263	1.679790677704E12	0.0	
6.825339	1.679790677724E12	0.0	
6.845186	1.679790677744E12	0.0	
6.86524	1.679790677764E12	0.0	
6.885021	1.679790677784E12	0.0	
6.904915	1.679790677804E12	0.0	
6.925623	1.679790677825E12	0.0	
6.945469	1.679790677845E12	0.0	
6.965343	1.679790677864E12	0.0	
6.985174	1.679790677884E12	0.0	
7.004921	1.679790677904E12	0.0	
7.025741	1.679790677925E12	0.0	
7.046665	1.679790677946E12	0.0	
7.067592	1.679790677967E12	0.0	
7.087433	1.679790677987E12	0.0	
7.107226	1.679790678006E12	0.0	
7.12697	1.679790678026E12	0.0	
7.146825	1.679790678046E12	0.0	
7.167607	1.679790678067E12	0.0	
7.187357	1.679790678086E12	0.0	
7.207137	1.679790678106E12	0.0	
7.22689	1.679790678126E12	0.0	
7.247783	1.679790678147E12	0.0	
7.268575	1.679790678168E12	0.0	
7.288447	1.679790678188E12	0.0	
7.308244	1.679790678207E12	0.0	
7.327977	1.679790678227E12	0.0	
7.348798	1.679790678248E12	0.0	
7.369628	1.679790678269E12	0.0	
7.389394	1.679790678288E12	0.0	
7.409274	1.679790678308E12	0.0	
7.429061	1.679790678328E12	0.0	
7.449811	1.679790678349E12	0.0	
7.470846	1.67979067837E12	0.0	
7.490998	1.67979067839E12	0.0	
7.511103	1.67979067841E12	0.0	
7.531353	1.67979067843E12	0.0	
7.551251	1.67979067845E12	0.0	
7.571276	1.67979067847E12	0.0	
7.59132	1.67979067849E12	0.0	
7.61121	1.67979067851E12	0.0	
7.631463	1.679790678531E12	0.0	
7.651586	1.679790678551E12	0.0	
7.671548	1.679790678571E12	0.0	
7.691735	1.679790678591E12	0.0	
7.712517	1.679790678612E12	0.0	
7.732322	1.679790678631E12	0.0	
7.752117	1.679790678651E12	0.0	
7.771842	1.679790678671E12	0.0	
7.792938	1.679790678692E12	0.0	
7.813782	1.679790678713E12	0.0	
7.834491	1.679790678734E12	0.0	
7.854232	1.679790678753E12	0.0	
7.873974	1.679790678773E12	0.0	
7.8947	1.679790678794E12	0.0	
7.915421	1.679790678815E12	0.0	
7.935216	1.679790678834E12	0.0	
7.954985	1.679790678854E12	0.0	
7.97573	1.679790678875E12	0.0	
7.996545	1.679790678896E12	0.0	
8.016315	1.679790678915E12	0.0	
8.0361	1.679790678935E12	0.0	
8.055802	1.679790678955E12	0.0	
8.075923	1.679790678975E12	0.0	
8.096675	1.679790678996E12	0.0	
8.117447	1.679790679017E12	0.0	
8.137323	1.679790679037E12	0.0	
8.157163	1.679790679056E12	0.0	
8.176984	1.679790679076E12	0.0	
8.197753	1.679790679097E12	0.0	
8.218525	1.679790679118E12	0.0	
8.23829	1.679790679138E12	0.0	
8.25835	1.679790679158E12	0.0	
8.278216	1.679790679177E12	0.0	
8.298226	1.679790679197E12	0.0	
8.318104	1.679790679217E12	0.0	
8.338086	1.679790679237E12	0.0	
8.358076	1.679790679257E12	0.0	
8.377974	1.679790679277E12	0.0	
8.397972	1.679790679297E12	0.0	
8.418798	1.679790679318E12	0.0	
8.439545	1.679790679339E12	0.0	
8.459585	1.679790679359E12	0.0	
8.479404	1.679790679379E12	0.0	
8.499185	1.679790679398E12	0.0	
8.519099	1.679790679418E12	0.0	
8.539148	1.679790679438E12	0.0	
8.558922	1.679790679458E12	0.0	
8.579783	1.679790679479E12	0.0	
8.600591	1.6797906795E12	0.0	
8.620264	1.679790679519E12	0.0	
8.640608	1.67979067954E12	0.0	
8.660582	1.67979067956E12	0.0	
8.680347	1.679790679579E12	0.0	
8.700114	1.679790679599E12	0.0	
8.719953	1.679790679619E12	0.0	
8.739925	1.679790679639E12	0.0	
8.759901	1.679790679659E12	0.0	
8.780596	1.67979067968E12	0.0	
8.800524	1.6797906797E12	0.0	
8.820442	1.67979067972E12	0.0	
8.840213	1.679790679739E12	0.0	
8.859945	1.679790679759E12	0.0	
8.880153	1.679790679779E12	0.0	
8.899839	1.679790679799E12	0.0	
8.920658	1.67979067982E12	0.0	
8.941391	1.67979067984E12	0.0	
8.961079	1.67979067986E12	0.0	
8.981818	1.679790679881E12	0.0	
9.00188	1.679790679901E12	0.0	
9.0226	1.679790679922E12	0.0	
9.042488	1.679790679942E12	0.0	
9.062202	1.679790679961E12	0.0	
9.082126	1.679790679981E12	0.0	
9.101843	1.679790680001E12	0.0	
9.122579	1.679790680022E12	0.0	
9.14229	1.679790680041E12	0.0	
9.161983	1.679790680061E12	0.0	
9.182649	1.679790680082E12	0.0	
9.203371	1.679790680102E12	0.0	
9.223137	1.679790680122E12	0.0	
9.242937	1.679790680142E12	0.0	
9.263629	1.679790680163E12	0.0	
9.283374	1.679790680182E12	0.0	
9.303088	1.679790680202E12	0.0	
9.323066	1.679790680222E12	0.0	
9.342958	1.679790680242E12	0.0	
9.363221	1.679790680263E12	0.0	
9.383189	1.679790680282E12	0.0	
9.402849	1.679790680302E12	0.0	
9.423636	1.679790680323E12	0.0	
9.444285	1.679790680343E12	0.0	
9.463942	1.679790680363E12	0.0	
9.484627	1.679790680384E12	0.0	
9.505365	1.679790680404E12	0.0	
9.525028	1.679790680424E12	0.0	
9.545694	1.679790680445E12	0.0	
9.566621	1.679790680466E12	0.0	
9.586337	1.679790680485E12	0.0	
9.60609	1.679790680505E12	0.0	
9.625789	1.679790680525E12	0.0	
9.646627	1.679790680546E12	0.0	
9.666361	1.679790680565E12	0.0	
9.686088	1.679790680585E12	0.0	
9.705812	1.679790680605E12	0.0	
9.726614	1.679790680626E12	0.0	
9.746394	1.679790680645E12	0.0	
9.766079	1.679790680665E12	0.0	
9.785769	1.679790680685E12	0.0	
9.8061	1.679790680705E12	0.0	
9.826032	1.679790680725E12	0.0	
9.846715	1.679790680746E12	0.0	
9.86745	1.679790680767E12	0.0	
9.887292	1.679790680786E12	0.0	
9.90703	1.679790680806E12	0.0	
9.926984	1.679790680826E12	0.0	
9.947786	1.679790680847E12	0.0	
9.968572	1.679790680868E12	0.0	
9.98835	1.679790680887E12	0.0	
10.008062	1.679790680907E12	0.0	
10.028819	1.679790680928E12	0.0	
10.049557	1.679790680949E12	0.0	
10.06945	1.679790680969E12	0.0	
10.089223	1.679790680988E12	0.0	
10.108914	1.679790681008E12	0.0	
10.129736	1.679790681029E12	0.0	
10.150702	1.67979068105E12	0.0	
10.17148	1.679790681071E12	0.0	
10.191229	1.67979068109E12	0.0	
10.211325	1.67979068111E12	0.0	
10.231235	1.67979068113E12	0.0	
10.25093	1.67979068115E12	0.0	
10.271956	1.679790681171E12	0.0	
10.292723	1.679790681192E12	0.0	
10.31351	1.679790681213E12	0.0	
10.333189	1.679790681232E12	0.0	
10.35297	1.679790681252E12	0.0	
10.373671	1.679790681273E12	0.0	
10.394406	1.679790681293E12	0.0	
10.414179	1.679790681313E12	0.0	
10.433875	1.679790681333E12	0.0	
10.454604	1.679790681354E12	0.0	
10.474283	1.679790681373E12	0.0	
10.493999	1.679790681393E12	0.0	
10.51471	1.679790681414E12	0.0	
10.535543	1.679790681435E12	0.0	
10.555354	1.679790681454E12	0.0	
10.575182	1.679790681474E12	0.0	
10.59493	1.679790681494E12	0.0	
10.615631	1.679790681515E12	0.0	
10.635494	1.679790681535E12	0.0	
10.655386	1.679790681554E12	0.0	
10.675144	1.679790681574E12	0.0	
10.694896	1.679790681594E12	0.0	
10.715726	1.679790681615E12	0.0	
10.736561	1.679790681636E12	0.0	
10.756402	1.679790681656E12	0.0	
10.776068	1.679790681675E12	0.0	
10.796787	1.679790681696E12	0.0	
10.817645	1.679790681717E12	0.0	
10.837371	1.679790681736E12	0.0	
10.857057	1.679790681756E12	0.0	
10.877787	1.679790681777E12	0.0	
10.898602	1.679790681798E12	0.0	
10.918339	1.679790681817E12	0.0	
10.938075	1.679790681837E12	0.0	
10.958112	1.679790681857E12	0.0	
10.977941	1.679790681877E12	0.0	
10.99779	1.679790681897E12	0.0	
11.018611	1.679790681918E12	0.0	
11.038536	1.679790681938E12	0.0	
11.058378	1.679790681957E12	0.0	
11.078283	1.679790681978E12	0.0	
11.098691	1.679790681998E12	0.0	
11.118545	1.679790682018E12	0.0	
11.138362	1.679790682037E12	0.0	
11.158091	1.679790682057E12	0.0	
11.177902	1.679790682077E12	0.0	
11.198684	1.679790682098E12	0.0	
11.219495	1.679790682119E12	0.0	
11.239255	1.679790682138E12	0.0	
11.259011	1.679790682158E12	0.0	
11.278867	1.679790682178E12	0.0	
11.299808	1.679790682199E12	0.0	
11.320627	1.67979068222E12	0.0	
11.340324	1.679790682239E12	0.0	
11.360068	1.679790682259E12	0.0	
11.380742	1.67979068228E12	0.0	
11.401323	1.6797906823E12	0.0	
