Time	TimeofDay	Left Encoder Velocity CP	
3.089718	1.679790468325E12	0.0	
3.10986	1.679790468344E12	0.0	
3.130737	1.679790468365E12	0.0	
3.151085	1.679790468385E12	0.0	
3.171058	1.679790468405E12	0.0	
3.191214	1.679790468425E12	0.0	
3.211644	1.679790468446E12	0.0	
3.231582	1.679790468466E12	0.0	
3.251396	1.679790468486E12	0.0	
3.271303	1.679790468505E12	0.0	
3.291548	1.679790468526E12	0.0	
3.311136	1.679790468545E12	0.0	
3.331539	1.679790468566E12	0.0	
3.35132	1.679790468585E12	0.0	
3.371155	1.679790468605E12	0.0	
3.391017	1.679790468625E12	0.0	
3.41105	1.679790468645E12	0.0	
3.430874	1.679790468665E12	0.0	
3.451751	1.679790468686E12	0.0	
3.472521	1.679790468707E12	0.0	
3.492285	1.679790468726E12	0.0	
3.512045	1.679790468746E12	0.0	
3.531831	1.679790468766E12	0.0	
3.552691	1.679790468787E12	0.0	
3.573443	1.679790468808E12	0.0	
3.593204	1.679790468827E12	0.0	
3.613031	1.679790468847E12	0.0	
3.632845	1.679790468867E12	0.0	
3.653633	1.679790468888E12	0.0	
3.674582	1.679790468909E12	0.0	
3.694428	1.679790468929E12	0.0	
3.71475	1.679790468949E12	0.0	
3.735968	1.67979046897E12	0.0	
3.755902	1.67979046899E12	0.0	
3.775954	1.67979046901E12	0.0	
3.79617	1.67979046903E12	0.0	
3.816191	1.67979046905E12	0.0	
3.836075	1.67979046907E12	0.0	
3.855934	1.67979046909E12	0.0	
3.87672	1.679790469111E12	0.0	
3.897611	1.679790469132E12	0.0	
3.917603	1.679790469152E12	0.0	
3.93761	1.679790469172E12	0.0	
3.957582	1.679790469192E12	0.0	
3.977436	1.679790469212E12	0.0	
3.997345	1.679790469232E12	0.0	
4.017133	1.679790469251E12	0.0	
4.03691	1.679790469271E12	0.0	
4.056769	1.679790469291E12	0.0	
4.077545	1.679790469312E12	0.0	
4.097309	1.679790469332E12	0.0	
4.117186	1.679790469351E12	0.0	
4.136974	1.679790469371E12	0.0	
4.156841	1.679790469391E12	0.0	
4.176949	1.679790469411E12	0.0	
4.197796	1.679790469432E12	0.0	
4.218685	1.679790469453E12	0.0	
4.239549	1.679790469474E12	0.0	
4.259463	1.679790469494E12	0.0	
4.279305	1.679790469513E12	0.0	
4.299233	1.679790469533E12	0.0	
4.319072	1.679790469553E12	0.0	
4.33894	1.679790469573E12	0.0	
4.358774	1.679790469593E12	0.0	
4.379642	1.679790469614E12	0.0	
4.400443	1.679790469635E12	0.0	
4.419761	1.679790469654E12	0.0	
4.440654	1.679790469675E12	0.0	
4.45981	1.679790469694E12	0.0	
4.479789	1.679790469714E12	0.0	
4.500819	1.679790469735E12	0.0	
4.52174	1.679790469756E12	0.0	
4.54255	1.679790469777E12	0.0	
4.562437	1.679790469797E12	0.0	
4.582233	1.679790469816E12	0.0	
4.602146	1.679790469836E12	0.0	
4.621949	1.679790469856E12	0.0	
4.641974	1.679790469876E12	0.0	
4.661983	1.679790469896E12	0.0	
4.681918	1.679790469916E12	0.0	
4.702395	1.679790469937E12	0.0	
4.72241	1.679790469957E12	0.0	
4.742223	1.679790469976E12	0.0	
4.762384	1.679790469997E12	0.0	
4.78229	1.679790470016E12	0.0	
4.802251	1.679790470036E12	0.0	
4.823245	1.679790470057E12	0.0	
4.843024	1.679790470077E12	0.0	
4.862757	1.679790470097E12	0.0	
4.883579	1.679790470118E12	0.0	
4.904442	1.679790470139E12	0.0	
4.924392	1.679790470159E12	0.0	
4.944129	1.679790470178E12	0.0	
4.976232	1.67979047021E12	0.0	
4.996033	1.67979047023E12	0.0	
5.015916	1.67979047025E12	0.0	
5.036751	1.679790470271E12	0.0	
5.057791	1.679790470292E12	0.0	
5.079065	1.679790470313E12	0.0	
5.098974	1.679790470333E12	0.0	
5.119131	1.679790470353E12	0.0	
5.139029	1.679790470373E12	0.0	
5.158916	1.679790470393E12	0.0	
5.179714	1.679790470414E12	0.0	
5.200604	1.679790470435E12	0.0	
5.221509	1.679790470456E12	0.0	
5.241317	1.679790470475E12	0.0	
5.261324	1.679790470496E12	0.0	
5.281705	1.679790470516E12	0.0	
5.301692	1.679790470536E12	0.0	
5.321679	1.679790470556E12	0.0	
5.342491	1.679790470577E12	0.0	
5.364002	1.679790470598E12	0.0	
5.381744	1.679790470616E12	0.0	
5.402493	1.679790470637E12	0.0	
5.422402	1.679790470657E12	0.0	
5.442334	1.679790470677E12	0.0	
5.462281	1.679790470696E12	0.0	
5.482198	1.679790470717E12	0.0	
5.502125	1.679790470736E12	0.0	
5.522019	1.679790470756E12	0.0	
5.542016	1.679790470776E12	0.0	
5.562091	1.679790470796E12	0.0	
5.58199	1.679790470816E12	0.0	
5.601937	1.679790470836E12	0.0	
5.623334	1.679790470858E12	0.0	
5.642181	1.679790470876E12	0.0	
5.662324	1.679790470897E12	0.0	
5.682236	1.679790470916E12	0.0	
5.702254	1.679790470936E12	0.0	
5.722452	1.679790470957E12	0.0	
5.742191	1.679790470976E12	0.0	
5.762517	1.679790470997E12	0.0	
5.782776	1.679790471017E12	0.0	
5.803482	1.679790471038E12	0.0	
5.823373	1.679790471058E12	0.0	
5.843113	1.679790471077E12	0.0	
5.862888	1.679790471097E12	0.0	
5.883966	1.679790471118E12	0.0	
5.904685	1.679790471139E12	0.0	
5.925534	1.67979047116E12	0.0	
5.945548	1.67979047118E12	0.0	
5.965426	1.6797904712E12	0.0	
5.985272	1.679790471219E12	0.0	
6.005044	1.679790471239E12	0.0	
6.024771	1.679790471259E12	0.0	
6.04562	1.67979047128E12	0.0	
6.066315	1.6797904713E12	0.0	
6.086062	1.67979047132E12	0.0	
6.105825	1.67979047134E12	0.0	
6.126626	1.679790471361E12	0.0	
6.147479	1.679790471382E12	0.0	
6.167406	1.679790471402E12	0.0	
6.187431	1.679790471422E12	0.0	
6.207251	1.679790471441E12	0.0	
6.227214	1.679790471461E12	0.0	
6.246979	1.679790471481E12	0.0	
6.266755	1.679790471501E12	0.0	
6.287567	1.679790471522E12	0.0	
6.307421	1.679790471542E12	0.0	
6.327179	1.679790471561E12	0.0	
6.347249	1.679790471581E12	0.0	
6.367053	1.679790471601E12	0.0	
6.387019	1.679790471621E12	0.0	
6.406923	1.679790471641E12	0.0	
6.426875	1.679790471661E12	0.0	
6.446965	1.679790471681E12	0.0	
6.467712	1.679790471702E12	0.0	
6.488754	1.679790471723E12	0.0	
6.508549	1.679790471743E12	0.0	
6.528476	1.679790471763E12	0.0	
6.548334	1.679790471783E12	0.0	
6.568274	1.679790471802E12	0.0	
6.588025	1.679790471822E12	0.0	
6.607776	1.679790471842E12	0.0	
6.628544	1.679790471863E12	0.0	
6.648307	1.679790471882E12	0.0	
6.668065	1.679790471902E12	0.0	
6.68779	1.679790471922E12	0.0	
6.70864	1.679790471943E12	0.0	
6.729425	1.679790471964E12	0.0	
6.749192	1.679790471983E12	0.0	
6.768929	1.679790472003E12	0.0	
6.789762	1.679790472024E12	0.0	
6.810682	1.679790472045E12	0.0	
6.831814	1.679790472066E12	0.0	
6.852767	1.679790472087E12	0.0	
6.873537	1.679790472108E12	0.0	
6.893427	1.679790472128E12	0.0	
6.913205	1.679790472147E12	0.0	
6.932949	1.679790472167E12	0.0	
6.952788	1.679790472187E12	0.0	
6.973659	1.679790472208E12	0.0	
6.994471	1.679790472229E12	0.0	
7.014319	1.679790472249E12	0.0	
7.034384	1.679790472269E12	0.0	
7.054274	1.679790472289E12	0.0	
7.074457	1.679790472309E12	0.0	
7.094183	1.679790472328E12	0.0	
7.114076	1.679790472348E12	0.0	
7.13405	1.679790472368E12	0.0	
7.153923	1.679790472388E12	0.0	
7.174703	1.679790472409E12	0.0	
7.195711	1.67979047243E12	0.0	
7.216483	1.679790472451E12	0.0	
7.236398	1.679790472471E12	0.0	
7.256287	1.679790472491E12	0.0	
